Artikel;Beschreibung;Einsatzgebiet;Nennquerschnitt;Außendurchmesser;Zulässige Abweichung;Gewicht;Min. Temperaturbeständigkeit;Max. Temperaturbeständigkeit;Produktblatt
FLRY 0,22-A;Einadrige Fahrzeugleitung mit reduzierter Wandstärke;;0,22;1,2;0,1;3,1;-40;105;https://www.express-kabel.de/wp-content/uploads/2024/02/FLRY-022-A_T105_76783002K.pdf
FLRY 0,35-A;Einadrige Fahrzeugleitung mit reduzierter Wandstärke;;0,35;1,3;0,1;4;-40;105;https://www.express-kabel.de/wp-content/uploads/2023/06/FLRY-035-A_T105_76783010K.pdf
FLRY 0,35SN-A(S);Einadrige Fahrzeugleitung mit reduzierter Wandstärke;;0,35;1,3;0,1;4;-40;105;https://www.express-kabel.de/wp-content/uploads/2022/09/FLRY-A-035-verzinnt.pdf
FLRY 0,5-A;Einadrige Fahrzeugleitung mit reduzierter Wandstärke;;0,5;1,6;0,2;6;-40;105;https://www.express-kabel.de/wp-content/uploads/2023/06/FLRY-05-A_T105_76783021K.pdf
FLRY 0,5-B;Einadrige Fahrzeugleitung mit reduzierter Wandstärke;;0,5;1,6;0,2;6;-40;105;https://www.express-kabel.de/wp-content/uploads/2023/06/FLRY-05-B_T105_76783022K.pdf
FLRY 0,75-A(S);Einadrige Fahrzeugleitung mit reduzierter Wandstärke;;0,75;1,9;0,2;9;-40;105;https://www.express-kabel.de/wp-content/uploads/2023/06/FLRY-075-AS_T105_76783040K.pdf
FLRY 0,75-B;Einadrige Fahrzeugleitung mit reduzierter Wandstärke;;0,75;1,9;0,2;9;-40;105;https://www.express-kabel.de/wp-content/uploads/2023/06/FLRY-075-B_T105_76783041K.pdf
FLRY 1,0-A(S);Einadrige Fahrzeugleitung mit reduzierter Wandstärke;;1;2,1;0,2;11;-40;105;https://www.express-kabel.de/wp-content/uploads/2023/06/FLRY-10-AS_T105_76783050K.pdf
FLRY 1,0-B/T105;Einadrige Fahrzeugleitung mit reduzierter Wandstärke;;1;2,1;0,2;11;-40;105;https://www.express-kabel.de/wp-content/uploads/2023/06/FLRY-10-B_T105_76783051K.pdf
FLRY 1,5-A(S);Einadrige Fahrzeugleitung mit reduzierter Wandstärke;;1,5;2,4;0,2;16;-40;105;https://www.express-kabel.de/wp-content/uploads/2023/06/FLRY-15-AS-T105.pdf
